Time,VUs   - sdkFxSendE2E 2025-10-13 17:02,Failures  - sdkFxSendE2E 2025-10-13 17:02,Latency(p99)  - sdkFxSendE2E 2025-10-13 17:02,Throughput - sdkFxSendE2E 2025-10-13 17:02,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_CONVERSION_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_PARTY_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760376005000,10,undefined,8.88478175495,1.3939224979091163,undefined,undefined,undefined,undefined,undefined,
1760376010000,10,undefined,8.88460386836,1.48619957537155,undefined,undefined,undefined,undefined,undefined,
1760376013692,,,,,,,,,,mojaloop-redis-follower-2 killed
1760376015000,10,undefined,8.884400569399999,1.5021029441217704,undefined,undefined,undefined,undefined,undefined,
1760376020000,10,undefined,8.88419727044,1.4894805436603984,undefined,undefined,0.0015058773640580483,0.0021775106698022875,undefined,
1760376025000,10,0.26666666666666666,8.870250047639997,3.667481662591687,undefined,0.014589169000933655,0.0018865608438983572,0.0027367728186675207,undefined,
1760376030000,10,0.26666666666666666,8.870250047639997,3.0126252038201726,undefined,0.0168591859185918,0.002397377003515406,0.0038816705087077403,undefined,
1760376035000,10,0.26666666666666666,8.870250047639997,0.26666666666666666,undefined,0.002444719131987183,undefined,undefined,undefined,
1760376060000,10,undefined,9.045518661320001,0.6922331441229406,undefined,undefined,undefined,undefined,undefined,
1760376065000,10,undefined,9.332398275719989,1.3315799664386214,undefined,undefined,undefined,undefined,undefined,
1760376070000,10,undefined,9.332398275719989,1.4592422873370337,undefined,undefined,undefined,undefined,undefined,
1760376075000,10,undefined,9.319002198,1.8110473890733474,undefined,undefined,undefined,undefined,undefined,
1760376080000,10,undefined,9.30858302644001,1.1931140276120673,undefined,undefined,undefined,undefined,undefined,
1760376085000,10,undefined,9.299652307959985,1.2410501193317423,undefined,undefined,undefined,undefined,undefined,
1760376090000,10,undefined,9.286256230239996,1.4768140198877622,undefined,undefined,undefined,undefined,undefined,
1760376095000,10,undefined,9.272860152520009,1.841809065793513,undefined,undefined,undefined,undefined,undefined,
1760376100000,10,undefined,9.263929434039984,1.5683814303638646,undefined,undefined,undefined,undefined,undefined,
1760376105000,10,undefined,9.253510262479994,1.3164556962025318,undefined,undefined,undefined,undefined,undefined,
1760376110000,10,undefined,9.39387727594,1.1904761904761907,undefined,undefined,undefined,undefined,undefined,
1760376115000,10,undefined,9.768580897360014,1.1427483096847921,undefined,undefined,undefined,undefined,undefined,
1760376120000,10,undefined,9.749767125839977,1.681425849120054,undefined,undefined,undefined,undefined,undefined,
1760376125000,10,undefined,9.730953354319993,1.5571776155717763,undefined,undefined,undefined,undefined,undefined,
